Graph Name (top center),Size (top left),Order (top right),Number of connected components (bottom right),Planarity (bottom left)
$G_{1}$,E???,6,0,6,True
$G_{2}$,E?A?,6,1,5,True
$G_{3}$,E?B?,6,2,4,True
$G_{4}$,E?B_,6,3,3,True
$G_{5}$,E?Bo,6,4,2,True
$G_{6}$,E?Bw,6,5,1,True
$G_{7}$,E?`?,6,2,4,True
$G_{8}$,E?`_,6,3,3,True
$G_{9}$,E?`o,6,4,2,True
$G_{10}$,E?aG,6,3,4,True
$G_{11}$,E?b?,6,3,3,True
$G_{12}$,E?bG,6,4,3,True
$G_{13}$,E?b_,6,4,2,True
$G_{14}$,E?bg,6,5,2,True
$G_{15}$,E?bo,6,5,1,True
$G_{16}$,E?bw,6,6,1,True
$G_{17}$,E?oo,6,4,2,True
$G_{18}$,E?ow,6,5,1,True
$G_{19}$,E?qg,6,5,2,True
$G_{20}$,E?qo,6,5,1,True
$G_{21}$,E?qw,6,6,1,True
$G_{22}$,E?r?,6,4,3,True
$G_{23}$,E?rG,6,5,3,True
$G_{24}$,E?r_,6,5,2,True
$G_{25}$,E?rg,6,6,2,True
$G_{26}$,E?ro,6,6,1,True
$G_{27}$,E?rw,6,7,1,True
$G_{28}$,E?zO,6,6,1,True
$G_{29}$,E?zW,6,7,1,True
$G_{30}$,E?z_,6,6,2,True
$G_{31}$,E?zg,6,7,2,True
$G_{32}$,E?zo,6,7,1,True
$G_{33}$,E?zw,6,8,1,True
$G_{34}$,E?~o,6,8,1,True
$G_{35}$,E?~w,6,9,1,True
$G_{36}$,ECO_,6,3,3,True
$G_{37}$,ECQO,6,4,3,True
$G_{38}$,ECQ_,6,4,2,True
$G_{39}$,ECQo,6,5,2,True
$G_{40}$,ECR?,6,4,2,True
$G_{41}$,ECRO,6,5,2,True
$G_{42}$,ECRW,6,6,2,True
$G_{43}$,ECR_,6,5,1,True
$G_{44}$,ECRo,6,6,1,True
$G_{45}$,ECRw,6,7,1,True
$G_{46}$,ECX_,6,5,2,True
$G_{47}$,ECXg,6,6,2,True
$G_{48}$,ECYO,6,5,2,True
$G_{49}$,ECYW,6,6,1,True
$G_{50}$,ECZ?,6,5,1,True
$G_{51}$,ECZG,6,6,1,True
$G_{52}$,ECZO,6,6,1,True
$G_{53}$,ECZW,6,7,1,True
$G_{54}$,ECZ_,6,6,1,True
$G_{55}$,ECZg,6,7,1,True
$G_{56}$,ECZo,6,7,1,True
$G_{57}$,ECZw,6,8,1,True
$G_{58}$,ECeW,6,6,3,True
$G_{59}$,ECfW,6,7,2,True
$G_{60}$,ECfo,6,7,1,True
$G_{61}$,ECfw,6,8,1,True
$G_{62}$,ECpO,6,5,2,True
$G_{63}$,ECpo,6,6,1,True
$G_{64}$,ECqg,6,6,1,True
$G_{65}$,ECrG,6,6,2,True
$G_{66}$,ECrO,6,6,2,True
$G_{67}$,ECrW,6,7,2,True
$G_{68}$,ECr_,6,6,1,True
$G_{69}$,ECrg,6,7,1,True
$G_{70}$,ECro,6,7,1,True
$G_{71}$,ECrw,6,8,1,True
$G_{72}$,ECuw,6,8,1,True
$G_{73}$,ECvW,6,8,2,True
$G_{74}$,ECvo,6,8,1,True
$G_{75}$,ECvw,6,9,1,True
$G_{76}$,ECxo,6,7,1,True
$G_{77}$,ECxw,6,8,1,True
$G_{78}$,ECzW,6,8,1,True
$G_{79}$,ECzg,6,8,1,True
$G_{80}$,ECzo,6,8,1,True
$G_{81}$,ECzw,6,9,1,True
$G_{82}$,EC~o,6,9,1,True
$G_{83}$,EC~w,6,10,1,True
$G_{84}$,EEhW,6,7,1,True
$G_{85}$,EEh_,6,6,1,True
$G_{86}$,EEho,6,7,1,True
$G_{87}$,EEhw,6,8,1,True
$G_{88}$,EEiW,6,7,1,True
$G_{89}$,EEio,6,7,1,True
$G_{90}$,EEjW,6,8,1,True
$G_{91}$,EEj_,6,7,1,True
$G_{92}$,EEjo,6,8,1,True
$G_{93}$,EEjw,6,9,1,True
$G_{94}$,EElw,6,9,1,True
$G_{95}$,EEno,6,9,1,True
$G_{96}$,EEnw,6,10,1,True
$G_{97}$,EErO,6,7,2,True
$G_{98}$,EErW,6,8,2,True
$G_{99}$,EEr_,6,7,1,True
$G_{100}$,EEro,6,8,1,True
$G_{101}$,EErw,6,9,1,True
$G_{102}$,EEuw,6,9,1,True
$G_{103}$,EEvW,6,9,2,True
$G_{104}$,EEvo,6,9,1,True
$G_{105}$,EEvw,6,10,1,True
$G_{106}$,EEzO,6,8,1,True
$G_{107}$,EEz_,6,8,1,True
$G_{108}$,EEzg,6,9,1,True
$G_{109}$,EEzo,6,9,1,True
$G_{110}$,EEzw,6,10,1,True
$G_{111}$,EE~w,6,11,1,True
$G_{112}$,EFzW,6,10,1,True
$G_{113}$,EFz_,6,9,1,False
$G_{114}$,EFzo,6,10,1,False
$G_{115}$,EFzw,6,11,1,False
$G_{116}$,EF~w,6,12,1,False
$G_{117}$,EQhO,6,6,2,True
$G_{118}$,EQig,6,7,2,True
$G_{119}$,EQjO,6,7,1,True
$G_{120}$,EQj_,6,7,1,True
$G_{121}$,EQjg,6,8,1,True
$G_{122}$,EQjo,6,8,1,True
$G_{123}$,EQjw,6,9,1,True
$G_{124}$,EQyw,6,9,1,True
$G_{125}$,EQzO,6,8,1,True
$G_{126}$,EQzW,6,9,1,True
$G_{127}$,EQzg,6,9,1,True
$G_{128}$,EQzo,6,9,1,True
$G_{129}$,EQzw,6,10,1,True
$G_{130}$,EQ~o,6,10,1,True
$G_{131}$,EQ~w,6,11,1,True
$G_{132}$,ETmw,6,10,2,False
$G_{133}$,ETno,6,10,1,True
$G_{134}$,ETnw,6,11,1,False
$G_{135}$,ETzg,6,10,1,True
$G_{136}$,ETzo,6,10,1,True
$G_{137}$,ETzw,6,11,1,True
$G_{138}$,ET~w,6,12,1,False
$G_{139}$,EUZO,6,8,1,True
$G_{140}$,EUZ_,6,8,1,True
$G_{141}$,EUZo,6,9,1,True
$G_{142}$,EUZw,6,10,1,True
$G_{143}$,EUxo,6,9,1,True
$G_{144}$,EUzW,6,10,1,True
$G_{145}$,EUzo,6,10,1,True
$G_{146}$,EUzw,6,11,1,True
$G_{147}$,EU~w,6,12,1,True
$G_{148}$,EV~w,6,13,1,False
$G_{149}$,E]yw,6,11,1,False
$G_{150}$,E]zg,6,11,1,False
$G_{151}$,E]zo,6,11,1,True
$G_{152}$,E]zw,6,12,1,False
$G_{153}$,E]~o,6,12,1,True
$G_{154}$,E]~w,6,13,1,False
$G_{155}$,E^~w,6,14,1,False
$G_{156}$,E~~w,6,15,1,False
